SimulationSecond,ReceiveRate,PacketsReceived,NumberOfSinks,RoutingProtocol,TransmissionPower,WavePktsSent,WavePtksReceived,WavePktsPpr,ExpectedWavePktsReceived,ExpectedWavePktsInCoverageReceived,BSM_PDR1,BSM_PDR2,BSM_PDR3,BSM_PDR4,BSM_PDR5,BSM_PDR6,BSM_PDR7,BSM_PDR8,BSM_PDR9,BSM_PDR10,MacPhyOverhead
0,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,10,protocol,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,2.048,4,10,protocol,7.5,20,80,4,0,0,0,0,0,0,0,0,0,0,0,0,0.851729
3,10.24,20,10,protocol,7.5,30,214,7.13333,0,0,0,0,0,0,0,0,0,0,0,0,0.89428
4,10.24,20,10,protocol,7.5,50,430,8.6,0,0,0,1,1,1,0.5,0.333333,0.2,0.2,0.2,0.2,0.874443
5,15.872,31,10,protocol,7.5,60,434,7.23333,0,0,0,1,1,1,0.5,0.333333,0.2,0.2,0.2,0.2,0.84826
6,13.824,27,10,protocol,7.5,80,572,7.15,0,0,0,0.95,0.95,0.95,0.475,0.271429,0.172727,0.172727,0.172727,0.172727,0.818963
7,13.312,26,10,protocol,7.5,90,610,6.77778,0,0,0,0.964286,0.975,0.4875,0.304688,0.195,0.13,0.13,0.13,0.13,0.806384
8,15.36,30,10,protocol,7.5,110,695,6.31818,0,0,0,1,0.95,0.475,0.316667,0.207273,0.15,0.15,0.15,0.15,0.79491
9,13.824,27,10,protocol,7.5,120,766,6.38333,0,0,0,1,0.78,0.433333,0.282609,0.21547,0.15,0.15,0.15,0.15,0.781394
10,14.336,28,10,protocol,7.5,130,790,6.07692,0,0,0,0.909091,0.507576,0.301802,0.186111,0.125468,0.0957143,0.0957143,0.0957143,0.0957143,0.766087
11,15.872,31,10,protocol,7.5,140,876,6.25714,0,0,0,0.8875,0.53125,0.293103,0.194064,0.133229,0.0988372,0.0988372,0.0988372,0.0988372,0.754845
12,16.384,32,10,protocol,7.5,160,1064,6.65,4,4,1,0.885714,0.542254,0.318182,0.21875,0.16886,0.131175,0.131175,0.131175,0.131175,0.742387
13,15.36,30,10,protocol,7.5,170,1198,7.04706,20,19,0.95,0.94375,0.565625,0.342803,0.235065,0.173704,0.139017,0.139017,0.139017,0.139017,0.731594
14,12.8,25,10,protocol,7.5,190,1252,6.58947,20,20,1,0.877273,0.538991,0.335714,0.252146,0.183307,0.146692,0.146692,0.146692,0.146692,0.723784
15,11.776,23,10,protocol,7.5,200,1254,6.27,20,18,0.9,0.87,0.490698,0.293872,0.214868,0.159607,0.128659,0.128659,0.128659,0.128659,0.71485
16,12.288,24,10,protocol,7.5,220,1609,7.31364,40,40,1,0.885965,0.54065,0.358008,0.254789,0.181322,0.146315,0.146315,0.146315,0.146315,0.702983
